rank,frequency,action_sign,action_scale,knee_action_scale,trials,mean_return,mean_length,success_rate,mean_x_displacement,mean_y_displacement,mean_forward_score,std_forward_score,rank_score
163,0.6000,1.0,0.5000,0.4000,3,61.405171,127.00,0.3333,-0.682473,-0.517169,-0.785907,0.154855,0.015760
164,0.8000,1.0,0.5000,0.3000,3,21.441971,36.00,0.0000,-0.119473,-0.515005,-0.222474,0.613892,-0.042474
165,0.6000,-1.0,0.3000,0.2000,3,78.437089,99.33,0.0000,-0.399012,-0.767020,-0.562238,0.713658,-0.065571
166,0.4000,-1.0,0.5000,0.3000,3,39.566882,66.33,0.0000,-0.245032,-0.762861,-0.397604,0.409459,-0.065937
167,0.6000,1.0,0.2000,0.4000,3,80.263348,118.67,0.3333,-0.739531,-0.433081,-0.826147,0.493907,-0.066147
168,0.8000,1.0,0.4000,0.4000,3,27.001067,48.67,0.0000,-0.304410,-0.293481,-0.379562,0.294351,-0.136228
169,1.0000,-1.0,0.5000,0.5000,3,31.606046,77.00,0.0000,-0.344696,-0.903297,-0.525355,1.136216,-0.140355
170,0.4000,-1.0,0.4000,0.3000,3,44.137489,67.67,0.0000,-0.343425,-0.712326,-0.485890,0.387570,-0.147556
171,0.6000,1.0,0.3000,0.2000,3,50.493029,67.67,0.0000,-0.416416,-0.385831,-0.493582,1.249561,-0.155249
172,1.0000,1.0,0.3000,0.5000,3,102.416052,189.00,0.3333,-1.121277,-0.154181,-1.293476,0.675225,-0.181809
173,0.6000,-1.0,0.5000,0.4000,3,24.187503,51.00,0.0000,-0.306422,-0.734494,-0.453321,0.452182,-0.198321
174,0.6000,1.0,0.2000,0.5000,3,66.655070,119.00,0.3333,-0.902523,-0.324167,-0.967356,0.563615,-0.205689
175,1.0000,1.0,0.4000,0.2000,3,46.079447,64.00,0.0000,-0.250563,-1.419212,-0.544865,0.145863,-0.224865
176,0.4000,1.0,0.1000,0.4000,3,35.324729,50.67,0.0000,-0.359009,-0.698775,-0.498764,0.427069,-0.245431
177,0.8000,1.0,0.3000,0.4000,3,49.796044,77.00,0.0000,-0.401360,-1.211202,-0.643601,1.103709,-0.258601
178,0.6000,1.0,0.4000,0.4000,3,59.825883,116.33,0.3333,-0.964111,-0.379655,-1.040042,0.913870,-0.291709
